No;Tanggal;Nama Pembeli;Nama Barang;Kuantum;Harga Satuan;Nominal
1;29/03/2026;Dewi;Susu;1;20000;20000
2;04/03/2026;Eko;Sabun;2;5000;10000
3;24/03/2026;Joko;Mie Instan;7;15000;105000
4;26/02/2026;Indah;Telur;3;20000;60000
5;06/02/2026;Citra;Telur;9;20000;180000
6;09/02/2026;Eko;Susu;9;15000;135000
7;27/03/2026;Dewi;Mie Instan;10;7000;70000
8;11/02/2026;Budi;Susu;8;3000;24000
9;27/03/2026;Eko;Beras;1;12000;12000
10;06/03/2026;Dewi;Susu;3;12000;36000
11;17/01/2026;Indah;Mie Instan;8;7000;56000
12;03/01/2026;Budi;Susu;3;12000;36000
13;30/01/2026;Eko;Teh;3;15000;45000
14;05/03/2026;Dewi;Sabun;8;12000;96000
15;07/03/2026;Andi;Susu;8;5000;40000
16;26/02/2026;Andi;Teh;2;10000;20000
17;12/03/2026;Indah;Beras;3;20000;60000
18;17/03/2026;Budi;Sabun;9;12000;108000
19;07/03/2026;Indah;Telur;10;7000;70000
20;13/02/2026;Joko;Beras;5;3000;15000
21;24/02/2026;Hadi;Gula;7;7000;49000
22;08/02/2026;Fajar;Mie Instan;4;10000;40000
23;18/02/2026;Fajar;Susu;5;5000;25000
24;26/02/2026;Gina;Telur;9;20000;180000
25;03/03/2026;Budi;Detergen;1;7000;7000
26;28/03/2026;Eko;Beras;8;7000;56000
27;01/03/2026;Hadi;Mie Instan;8;15000;120000
28;02/01/2026;Dewi;Beras;2;12000;24000
29;07/03/2026;Dewi;Beras;1;5000;5000
30;04/01/2026;Eko;Sabun;2;5000;10000
31;10/01/2026;Citra;Detergen;6;5000;30000
32;03/03/2026;Fajar;Kopi;6;20000;120000
33;25/01/2026;Gina;Sabun;1;20000;20000
34;22/02/2026;Budi;Beras;8;12000;96000
35;14/01/2026;Gina;Teh;7;5000;35000
36;22/03/2026;Citra;Sabun;5;5000;25000
37;07/01/2026;Fajar;Kopi;4;12000;48000
38;05/01/2026;Indah;Susu;6;12000;72000
39;28/03/2026;Dewi;Detergen;10;10000;100000
40;03/01/2026;Citra;Kopi;7;10000;70000
41;17/03/2026;Citra;Kopi;8;10000;80000
42;26/03/2026;Dewi;Teh;1;15000;15000
43;22/03/2026;Joko;Detergen;4;5000;20000
44;29/01/2026;Indah;Mie Instan;7;20000;140000
45;23/03/2026;Budi;Susu;10;12000;120000
46;26/01/2026;Indah;Kopi;8;7000;56000
47;20/02/2026;Joko;Kopi;9;15000;135000
48;11/03/2026;Andi;Telur;7;3000;21000
49;18/01/2026;Fajar;Kopi;4;10000;40000
50;14/02/2026;Indah;Sabun;4;7000;28000
51;19/01/2026;Fajar;Telur;2;15000;30000
52;08/01/2026;Joko;Detergen;4;5000;20000
53;17/02/2026;Dewi;Teh;1;15000;15000
54;14/03/2026;Budi;Telur;10;15000;150000
55;28/03/2026;Joko;Minyak Goreng;8;3000;24000
56;31/03/2026;Indah;Teh;8;5000;40000
57;08/03/2026;Dewi;Sabun;8;15000;120000
58;25/03/2026;Andi;Beras;1;5000;5000
59;04/01/2026;Indah;Susu;6;20000;120000
60;31/01/2026;Joko;Detergen;6;5000;30000
61;09/02/2026;Indah;Sabun;10;10000;100000
62;08/01/2026;Budi;Telur;7;12000;84000
63;02/02/2026;Dewi;Mie Instan;10;15000;150000
64;29/03/2026;Andi;Detergen;10;20000;200000
65;24/02/2026;Andi;Telur;2;10000;20000
66;26/01/2026;Budi;Detergen;1;7000;7000
67;19/01/2026;Dewi;Sabun;1;10000;10000
68;18/02/2026;Hadi;Gula;8;12000;96000
69;15/01/2026;Gina;Telur;9;7000;63000
70;09/02/2026;Citra;Minyak Goreng;5;7000;35000
71;26/01/2026;Joko;Telur;6;3000;18000
72;31/01/2026;Fajar;Minyak Goreng;5;10000;50000
73;13/03/2026;Fajar;Sabun;2;15000;30000
74;22/02/2026;Joko;Detergen;5;12000;60000
75;08/03/2026;Andi;Detergen;3;3000;9000
76;21/03/2026;Fajar;Mie Instan;9;5000;45000
77;06/01/2026;Dewi;Sabun;4;7000;28000
78;07/02/2026;Eko;Kopi;5;7000;35000
79;01/03/2026;Hadi;Teh;2;10000;20000
80;05/03/2026;Citra;Gula;4;15000;60000
81;03/03/2026;Citra;Gula;5;20000;100000
82;02/02/2026;Gina;Telur;5;10000;50000
83;17/02/2026;Budi;Telur;7;12000;84000
84;07/03/2026;Indah;Susu;8;5000;40000
85;11/01/2026;Fajar;Gula;3;12000;36000
86;18/02/2026;Hadi;Teh;10;12000;120000
87;21/03/2026;Hadi;Detergen;10;7000;70000
88;11/03/2026;Gina;Susu;5;15000;75000
89;20/02/2026;Citra;Kopi;5;20000;100000
90;24/03/2026;Eko;Teh;9;5000;45000
91;26/03/2026;Gina;Beras;9;5000;45000
92;03/03/2026;Dewi;Telur;10;5000;50000
93;25/03/2026;Dewi;Susu;8;7000;56000
94;08/03/2026;Indah;Telur;2;15000;30000
95;20/01/2026;Joko;Minyak Goreng;3;20000;60000
96;13/02/2026;Fajar;Kopi;9;12000;108000
97;08/03/2026;Citra;Susu;3;3000;9000
98;30/03/2026;Dewi;Sabun;2;10000;20000
99;09/02/2026;Eko;Kopi;7;10000;70000
100;10/01/2026;Joko;Kopi;9;3000;27000
